aubergine,amaranth,asparagus,legumes,beans,chickpeas,lentils,peas,broccoli,cabbage,kohlrabi,cauliflower,celery,endive,fiddleheads,frisee,fennel,greens,kale,spinach,anise,basil,caraway,cilantro,coriander,chamomile,dill,lavender,marjoram,oregano,parsley,rosemary,sage,thyme,lettuce,arugula,mushrooms,nettles,okra,onions,chives,garlic,leek,onion,shallot,peppers,habanero,paprika,radicchio,rhubarb,turnip,radish,courgette,pumpkin,potato,quandong,sunchokes,zucchini
0.63834,0.010876,0.50818,0.59598,-0.11655,0.34426,0.53081,0.61233,0.12037,0.11316,-0.20158,0.15097,0.24419,0.76065,0.79475,0.818,0.35519,0.69993,0.41509,0.59042,0.52074,0.20023,0.19736,0.43146,0.36379,0.15684,0.17864,0.31348,0.12401,0.30069,0.20129,0.21719,0.20312,0.31328,0.087632,0.67718,0.18693,0.24239,0.37164,0.42807,0.2637,0.46405,-0.13212,0.49865,0.11336,0.39732,0.51604,-0.14785,0.35509,0.078619,-0.085033,0.19446,0.27926,0.66616,0.36741,0.53967,0.68437,0.26789
0.020024,0.47887,-0.097051,0.43654,-0.051465,0.46301,0.31781,0.19276,0.22104,-0.33144,-0.43585,-0.01745,-0.43843,-0.22967,-0.50269,-0.10462,-0.038439,-0.50478,-0.1248,0.045088,-0.03369,-0.21503,0.068826,-0.3217,0.070272,0.017888,-0.47242,-0.32898,-0.028081,-0.011921,-0.10956,-0.10144,0.31016,-0.24844,-0.038552,-0.18717,-0.28823,-0.33747,-0.71916,0.032057,0.032485,0.031191,-0.10057,-0.075918,-0.29235,0.14407,-0.27381,0.153,0.13528,-0.057191,-0.36753,-0.44562,-0.087197,-0.46623,-0.64452,-0.14446,-0.0997,-0.29573
0.9063,0.53353,0.067176,0.97725,0.66726,0.84253,0.98847,0.47307,0.35814,0.055443,0.1625,0.20493,0.44299,-0.20292,0.012929,-0.4395,0.50664,-0.0041393,0.37064,0.44432,0.45034,0.59221,0.30816,0.52921,0.8193,0.060519,0.22862,0.69486,0.62646,0.68375,0.43956,0.56597,0.67763,0.63243,-0.042151,-0.19877,0.52993,0.1306,0.46409,0.89651,0.58283,0.69111,0.32692,1.1259,0.68809,0.34169,0.35493,0.79872,-0.38683,0.64313,0.31479,0.50519,0.44168,0.095025,0.17406,0.032348,0.26776,0.87415
0.21063,-0.10152,0.28698,0.018737,-0.10102,0.3587,0.20774,0.18361,0.20626,0.12172,0.024798,0.049575,0.152,0.11055,0.29967,-0.39676,0.31603,0.36972,0.25693,0.53965,0.4566,0.42222,0.31712,0.72607,0.60954,0.4991,0.49989,0.048846,0.14706,0.58832,0.64809,0.40539,0.2607,0.50605,0.48283,0.24509,-0.064518,0.69339,0.44285,0.058633,0.37889,0.029698,0.27108,0.21529,0.43835,0.4832,0.35143,0.39375,-0.63312,0.41733,0.13638,0.48109,0.01694,0.14311,-0.060984,0.12665,-0.70757,0.24446
-0.30416,0.48446,0.37038,1.5421,1.4118,0.87668,1.0175,0.63948,0.48134,0.47399,0.53362,0.76969,0.49511,0.3062,-0.26011,0.54681,0.47006,0.11573,0.51876,0.23408,0.52442,0.26097,0.60178,0.58572,0.68215,-0.1669,0.51067,-0.18729,0.18116,0.4501,0.036265,0.11102,0.068386,0.34671,0.22674,0.40732,0.49618,0.19008,0.50714,0.74714,0.088753,0.75636,0.42047,0.8776,0.40152,1.0759,1.2645,0.72365,0.18738,0.35638,0.51143,0.42635,0.041492,0.41551,0.65396,0.39357,0.53071,0.3638
-0.2057,0.12842,-0.66179,-0.60677,-0.34325,-0.68558,-0.35486,-0.45761,-0.3631,-0.3882,-0.13352,-0.28337,-0.022245,-0.31077,-0.24575,0.043789,-0.41259,-0.14705,0.043303,-0.47906,-0.25182,-0.80011,-0.25188,-0.76056,-0.84502,-0.62471,-0.54378,-0.63175,-0.60642,-0.90477,-0.42561,-0.71088,-0.38422,-0.51413,-0.46037,-0.56182,-0.43442,0.11148,-0.15197,-0.52025,-0.42955,-0.56739,0.11133,-0.41153,-0.018498,-0.54639,-0.2509,-0.27957,-0.0070474,0.051218,0.33749,-0.10159,0.027699,0.19163,0.15062,-0.16528,-0.20284,-0.48924
-0.15989,0.83831,-0.36027,-0.06038,-0.27368,-0.27218,-0.44484,-0.6064,-0.60665,-0.41395,0.048797,-0.62621,-0.6288,-0.067894,0.04139,0.69767,-0.53058,0.35724,-0.07717,-0.23941,0.021656,-0.23255,-0.25493,-0.22497,-0.16973,0.048278,-0.10019,-0.26796,-0.16439,-0.37951,-0.51858,-0.030859,0.24688,-0.35175,-0.15701,0.097339,-0.5674,0.21996,-0.14608,-0.88227,-0.65896,-0.90807,-0.25204,-0.66566,-0.76466,0.091297,0.36775,-0.42054,0.13262,-0.041274,-0.37836,-0.15572,-0.082548,-0.13987,-0.084613,0.31397,-0.23691,-0.30546
-0.63441,-0.16642,-0.68534,-0.38492,-0.57852,-0.17432,-0.21559,-0.8347,-0.77247,-0.85689,-1.0886,-0.71236,-0.49958,-0.58657,0.16253,-0.18944,-0.32524,-0.75682,-1.1244,-0.93484,0.34084,-0.46972,-0.40139,-0.92625,-0.34946,0.55891,-0.59004,0.13482,0.16035,-0.3097,-0.51422,-0.036504,0.026008,-0.099808,-0.85394,-1.1745,-0.45822,-0.6522,-1.2078,-0.69747,-0.45141,-0.3672,-0.42491,-0.61341,-0.76953,-0.61613,-0.45589,-0.38045,-0.83412,-0.29797,-1.0822,-1.0067,-0.62963,-0.41795,-0.78696,0.37025,-0.30624,-1.1816
0.25581,0.092339,0.5504,0.33223,0.77531,0.9368,0.84594,0.77704,0.54558,0.25319,-0.49333,0.34081,0.70312,-0.84752,-0.031067,-0.76192,-0.16478,0.23599,-0.0031631,0.35531,0.20542,0.29405,-0.24522,0.41383,0.060668,-0.19841,0.2371,-0.076605,0.75312,0.68895,0.42638,0.2485,0.2264,0.61924,-0.17851,-0.2373,0.62719,-0.10046,0.43631,0.50347,0.59324,0.52592,0.45687,0.76066,0.85819,0.38377,-0.4239,0.69433,-0.82212,0.12125,0.03249,-0.15702,0.19576,-0.062144,0.5148,-0.15819,0.28468,0.52453
-0.025053,0.022345,-0.31873,-0.23472,0.29996,0.66825,0.094323,0.29853,-0.29127,-0.046335,-0.28415,-0.18313,0.26005,-0.64203,-0.36845,-0.68442,0.20798,-0.51959,0.0090859,-0.38695,0.32101,-0.099015,0.36717,0.4689,0.26782,0.10046,0.379,0.31929,-0.041501,0.23224,0.2216,0.27265,-0.24965,-0.025166,-0.30976,-0.74652,-0.11999,-0.65072,0.37832,-0.10308,0.11925,0.15523,0.13894,-0.14038,0.099729,-0.11681,0.44326,0.12529,-0.6384,-0.077644,0.24501,0.044295,-0.15715,0.027055,0.041746,-0.62775,0.30959,0.044108
